LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h_r,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h_r,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_0h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0109253,0.07751899213,800.0109253,0.0004518934002,800.0109253,0.04259687662,800.0109253,-0.001869287109,800.0109253,0.006878660992,800.0109253,-0.003417239524,
799.007019,0.07857504487,799.007019,0.001512585441,799.007019,0.04155645892,799.007019,-0.00185629644,799.007019,0.007187997922,799.007019,-0.002785438672,
798.0026855,0.07834565639,798.0026855,0.0008401387604,798.0026855,0.0399940908,798.0026855,-0.001892122906,798.0026855,0.007326900028,798.0026855,-0.003554570954,
796.9979248,0.07921785116,796.9979248,0.0008175230469,796.9979248,0.04016939178,796.9979248,-0.001618477516,796.9979248,0.00717489142,796.9979248,-0.003663983895,
795.9926758,0.07974766195,795.9926758,0.0009777774103,795.9926758,0.03885713965,795.9926758,-0.001895988942,795.9926758,0.00620812783,795.9926758,-0.003462644992,
794.9871826,0.07986533642,794.9871826,0.0008026367868,794.9871826,0.03787127137,794.9871826,-0.001616414404,794.9871826,0.00739777647,794.9871826,-0.00319605181,
794.0158691,0.07823257148,794.0158691,0.0008085237932,794.0158691,0.03703927621,794.0158691,-0.001977682346,794.0158691,0.006784520112,794.0158691,-0.003680873429,
793.0095215,0.07781368494,793.0095215,0.0008571012877,793.0095215,0.03710761666,793.0095215,-0.002098003868,793.0095215,0.006352101918,793.0095215,-0.003694066312,
792.0026855,0.07711426914,792.0026855,0.0004879397748,792.0026855,0.03596479818,792.0026855,-0.002022207715,792.0026855,0.006430464331,792.0026855,-0.003891295986,
790.9956055,0.07704687864,790.9956055,6.213076995E-005,790.9956055,0.03509277478,790.9956055,-0.001843253733,790.9956055,0.0068605938,790.9956055,-0.004066997673,
789.9880371,0.07649859041,789.9880371,0.0005322049255,789.9880371,0.03429854661,789.9880371,-0.001531506074,789.9880371,0.006862014066,789.9880371,-0.003716344479,
789.0148926,0.07535453141,789.0148926,0.000245805044,789.0148926,0.03259217367,789.0148926,-0.002038233681,789.0148926,0.006195261143,789.0148926,-0.003867128165,
788.0064697,0.07541500777,788.0064697,0.0009385254816,788.0064697,0.03113527223,788.0064697,-0.002270569792,788.0064697,0.006799192168,788.0064697,-0.004201508593,
786.9977417,0.07371212542,786.9977417,-8.070495096E-005,786.9977417,0.02974608354,786.9977417,-0.002015508711,786.9977417,0.00641041901,786.9977417,-0.003940448165,
785.9886475,0.07305888832,785.9886475,0.0003506634384,785.9886475,0.02876801975,785.9886475,-0.002539841691,785.9886475,0.006480121519,785.9886475,-0.003935010172,
785.013855,0.07178441435,785.013855,0.0004626992159,785.013855,0.02820956334,785.013855,-0.001825673971,785.013855,0.006457157433,785.013855,-0.003851990681,
784.0039063,0.07035524398,784.0039063,0.0005607412895,784.0039063,0.02731769718,784.0039063,-0.001594234607,784.0039063,0.006670789327,784.0039063,-0.004074588418,
782.9935913,0.06981408596,782.9935913,0.000909575203,782.9935913,0.02553985454,782.9935913,-0.00182768458,782.9935913,0.007297230884,782.9935913,-0.002824326279,
781.9829102,0.06625191867,781.9829102,-0.0004454760638,781.9829102,0.0241428595,781.9829102,-0.002905999543,781.9829102,0.005621145014,781.9829102,-0.004506581463,
781.0066528,0.06688285619,781.0066528,-0.0001751609088,781.0066528,0.02350805514,781.0066528,-0.002252286067,781.0066528,0.006651758216,781.0066528,-0.004116130061,
779.9951782,0.06499095261,779.9951782,-0.0003258855722,779.9951782,0.02320733108,779.9951782,-0.002483581193,779.9951782,0.00622067973,779.9951782,-0.004332646728,
778.9832153,0.06441806257,778.9832153,0.0002209929517,778.9832153,0.02209771425,778.9832153,-0.002195885405,778.9832153,0.006399490871,778.9832153,-0.004784507211,
778.0058594,0.06320090592,778.0058594,0.0001152596233,778.0058594,0.02236859128,778.0058594,-0.002513024956,778.0058594,0.005827202927,778.0058594,-0.00414187368,
776.9931641,0.06122377142,776.9931641,0.0001482224616,776.9931641,0.02159670368,776.9931641,-0.002543187002,776.9931641,0.00615556119,776.9931641,-0.004605970811,
776.0150757,0.05817741901,776.0150757,-0.0006245932309,776.0150757,0.01949251816,776.0150757,-0.003070790786,776.0150757,0.005376787391,776.0150757,-0.004205149133,
775.0015869,0.0596180819,775.0015869,-0.0004981226521,775.0015869,0.01847865991,775.0015869,-0.002876325278,775.0015869,0.005616870243,775.0015869,-0.004693353083,
773.987793,0.05995379388,773.987793,-0.000331938325,773.987793,0.01759281568,773.987793,-0.002883834066,773.987793,0.00576550141,773.987793,-0.004949866794,
773.0085449,0.0594500117,773.0085449,0.000111349822,773.0085449,0.01788439043,773.0085449,-0.002233847277,773.0085449,0.005992545281,773.0085449,-0.004899651278,
771.9938965,0.05694507807,771.9938965,-0.0004926928086,771.9938965,0.01671141014,771.9938965,-0.00306888856,771.9938965,0.004886258859,771.9938965,-0.005161312874,
771.013916,0.05420366302,771.013916,-0.001083992887,771.013916,0.01592584513,771.013916,-0.003384415293,771.013916,0.005252288654,771.013916,-0.005116187036,
769.9984741,0.05319086462,769.9984741,-2.433274176E-006,769.9984741,0.0161061734,769.9984741,-0.002616062062,769.9984741,0.005797794089,769.9984741,-0.004430794623,
768.9827881,0.05254414305,768.9827881,-0.000893078919,768.9827881,0.01529756747,768.9827881,-0.002783123869,768.9827881,0.005115358159,768.9827881,-0.004936967976,
768.0015869,0.05112858117,768.0015869,-0.0003731670731,768.0015869,0.01433801558,768.0015869,-0.002949710004,768.0015869,0.005021310411,768.0015869,-0.005172772333,
766.9850464,0.04866277426,766.9850464,-0.0005323033547,766.9850464,0.01436865143,766.9850464,-0.002709659515,766.9850464,0.005598698277,766.9850464,-0.004612527788,
766.0032959,0.04854172841,766.0032959,-0.0001887194667,766.0032959,0.0140772881,766.0032959,-0.00276043755,766.0032959,0.005299846176,766.0032959,-0.004552231636,
764.9859619,0.04677094147,764.9859619,-0.0003466818016,764.9859619,0.01347154286,764.9859619,-0.00286367326,764.9859619,0.004862803034,764.9859619,-0.004764434416,
764.0033569,0.04684760422,764.0033569,3.852002919E-005,764.0033569,0.01303519215,764.0033569,-0.00283631077,764.0033569,0.006004119758,764.0033569,-0.004572519101,
762.9852905,0.04532435909,762.9852905,-0.0002006734285,762.9852905,0.01202119049,762.9852905,-0.00271053426,762.9852905,0.005397754256,762.9852905,-0.004659037571,
762.0020142,0.0439423807,762.0020142,-0.0005663261982,762.0020142,0.01142460294,762.0020142,-0.003292504698,762.0020142,0.00527007971,762.0020142,-0.00477298582,
760.9831543,0.04251790419,760.9831543,-0.0003642698575,760.9831543,0.01122899447,760.9831543,-0.003090170678,760.9831543,0.005661845207,760.9831543,-0.005029708613,
759.9991455,0.04092514515,759.9991455,-0.0002422250982,759.9991455,0.01117310766,759.9991455,-0.002665153006,759.9991455,0.005256847944,759.9991455,-0.004904514179,
759.0147095,0.03947272524,759.0147095,-0.0005360263167,759.0147095,0.01091331616,759.0147095,-0.003110886551,759.0147095,0.005436730105,759.0147095,-0.005066860467,
757.994812,0.03844173625,757.994812,-0.000870603777,757.994812,0.01025200728,757.994812,-0.003066112753,757.994812,0.005284936167,757.994812,-0.004948945716,
