LN46_0.75_1_0.5mL_s_0.5mL_Ti_1h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_1h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_1h_r,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_1h,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_1h_r,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_1h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0109253,0.006409788504,800.0109253,0.02009799704,800.0109253,0.03144017607,800.0109253,0.01852077246,800.0109253,0.01807179302,800.0109253,-0.001872328459,
799.007019,0.006556220818,799.007019,0.02030181885,799.007019,0.03365981206,799.007019,0.01885600761,799.007019,0.0181294661,799.007019,-0.001383934403,
798.0026855,0.006209309679,798.0026855,0.02065341547,798.0026855,0.03342666849,798.0026855,0.01833428256,798.0026855,0.01867594011,798.0026855,-0.000960703881,
796.9979248,0.007012439892,796.9979248,0.02151112258,796.9979248,0.03368101269,796.9979248,0.01803539135,796.9979248,0.01930525899,796.9979248,-0.0008550513885,
795.9926758,0.006512467284,795.9926758,0.0206956584,795.9926758,0.03182962909,795.9926758,0.01648901962,795.9926758,0.01906668581,795.9926758,-0.001742301858,
794.9871826,0.005727309268,794.9871826,0.02024922706,794.9871826,0.03213758394,794.9871826,0.01600109413,794.9871826,0.01841040887,794.9871826,-0.001922173775,
794.0158691,0.006556457374,794.0158691,0.02048676647,794.0158691,0.03307865933,794.0158691,0.01779284887,794.0158691,0.01804899052,794.0158691,-0.001473257318,
793.0095215,0.006509682164,793.0095215,0.02048747241,793.0095215,0.03295015171,793.0095215,0.01936038956,793.0095215,0.01838764176,793.0095215,-0.002024938818,
792.0026855,0.006221257616,792.0026855,0.02144154906,792.0026855,0.03181127459,792.0026855,0.02152425982,792.0026855,0.01797603071,792.0026855,-0.002754264278,
790.9956055,0.00651117973,790.9956055,0.02136203647,790.9956055,0.03238208219,790.9956055,0.02231223322,790.9956055,0.01824008301,790.9956055,-0.002544988645,
789.9880371,0.006460047793,789.9880371,0.02125855908,789.9880371,0.03311782703,789.9880371,0.02342715114,789.9880371,0.01834762283,789.9880371,-0.002317691455,
789.0148926,0.005956170615,789.0148926,0.02051336132,789.0148926,0.03232438117,789.0148926,0.02325965278,789.0148926,0.01812992431,789.0148926,-0.002896279795,
788.0064697,0.005484569818,788.0064697,0.02009704709,788.0064697,0.03182419762,788.0064697,0.02329808101,788.0064697,0.01756170951,788.0064697,-0.003159201937,
786.9977417,0.005341433454,786.9977417,0.02034522034,786.9977417,0.03225564957,786.9977417,0.02474419959,786.9977417,0.01849616505,786.9977417,-0.002405895852,
785.9886475,0.005793412682,785.9886475,0.02059915289,785.9886475,0.03215581551,785.9886475,0.02587492019,785.9886475,0.01862392388,785.9886475,-0.003228839021,
785.013855,0.006037532818,785.013855,0.02010314725,785.013855,0.03218051419,785.013855,0.02636843361,785.013855,0.01767703518,785.013855,-0.00309299794,
784.0039063,0.005596286152,784.0039063,0.01965629496,784.0039063,0.03145667911,784.0039063,0.02770785615,784.0039063,0.01784794964,784.0039063,-0.003290860448,
782.9935913,0.005470911972,782.9935913,0.02045417763,782.9935913,0.03217708319,782.9935913,0.02867352031,782.9935913,0.01780236885,782.9935913,-0.00343578239,
781.9829102,0.005894450005,781.9829102,0.02054497786,781.9829102,0.03277014941,781.9829102,0.03011934273,781.9829102,0.01828252338,781.9829102,-0.003223443171,
781.0066528,0.005908856168,781.0066528,0.02056384087,781.0066528,0.03158772364,781.0066528,0.03023052961,781.0066528,0.01777726226,781.0066528,-0.003118648194,
779.9951782,0.005585744977,779.9951782,0.02054370381,779.9951782,0.03179637343,779.9951782,0.0310921967,779.9951782,0.017873412,779.9951782,-0.003002670826,
778.9832153,0.006369333249,778.9832153,0.02138365246,778.9832153,0.03305611759,778.9832153,0.0313170217,778.9832153,0.01866767183,778.9832153,-0.002829418518,
778.0058594,0.006104995962,778.0058594,0.01965261064,778.0058594,0.03175303712,778.0058594,0.03036087379,778.0058594,0.01733923331,778.0058594,-0.00355164404,
776.9931641,0.005442549009,776.9931641,0.01985630579,776.9931641,0.03199904412,776.9931641,0.03033550084,776.9931641,0.01759195328,776.9931641,-0.002941173967,
776.0150757,0.005802751984,776.0150757,0.02021773905,776.0150757,0.03243719786,776.0150757,0.03077767231,776.0150757,0.01788711362,776.0150757,-0.003156580729,
775.0015869,0.005250900052,775.0015869,0.02015043423,775.0015869,0.03251089901,775.0015869,0.03130327538,775.0015869,0.01747252792,775.0015869,-0.003434190061,
773.987793,0.005171466153,773.987793,0.02040365711,773.987793,0.03252004832,773.987793,0.03192618489,773.987793,0.01778734848,773.987793,-0.003490430303,
773.0085449,0.005296544172,773.0085449,0.02009639703,773.0085449,0.03279326111,773.0085449,0.03272464871,773.0085449,0.01749753579,773.0085449,-0.003852195805,
771.9938965,0.005510942545,771.9938965,0.02006530017,771.9938965,0.03166590258,771.9938965,0.03164151311,771.9938965,0.01783956029,771.9938965,-0.002740065334,
771.013916,0.004988656379,771.013916,0.01915868558,771.013916,0.03203031048,771.013916,0.02989355661,771.013916,0.01706520095,771.013916,-0.003876620904,
769.9984741,0.005101502407,769.9984741,0.01979650557,769.9984741,0.03181823716,769.9984741,0.02943823859,769.9984741,0.01796626486,769.9984741,-0.003201859305,
768.9827881,0.004968363326,768.9827881,0.01986985467,768.9827881,0.03143344074,768.9827881,0.02915466763,768.9827881,0.01734976657,768.9827881,-0.003897042712,
768.0015869,0.00587495463,768.0015869,0.02031367272,768.0015869,0.03268066421,768.0015869,0.02873225883,768.0015869,0.01773697324,768.0015869,-0.003338590963,
766.9850464,0.00480369851,766.9850464,0.01968914829,766.9850464,0.0315557681,766.9850464,0.02763808332,766.9850464,0.01703079417,766.9850464,-0.003500444815,
766.0032959,0.005513302051,766.0032959,0.01992787421,766.0032959,0.03143285587,766.0032959,0.0267244298,766.0032959,0.01684149913,766.0032959,-0.003615416354,
764.9859619,0.004938986152,764.9859619,0.01944484375,764.9859619,0.05311152339,764.9859619,0.0260444209,764.9859619,0.01687088422,764.9859619,-0.003605404403,
764.0033569,0.004904296249,764.0033569,0.01998636313,764.0033569,0.1847143471,764.0033569,0.02633135766,764.0033569,0.01722138375,764.0033569,-0.004044378176,
762.9852905,0.005460819695,762.9852905,0.02039334737,762.9852905,0.1092369631,762.9852905,0.02621577308,762.9852905,0.01716464013,762.9852905,-0.003314443631,
762.0020142,0.005085054319,762.0020142,0.02056655474,762.0020142,-0.04701342434,762.0020142,0.02451322228,762.0020142,0.01720834896,762.0020142,-0.003319838317,
760.9831543,0.00553854974,760.9831543,0.02007462643,760.9831543,-0.04714410007,760.9831543,0.0231026765,760.9831543,0.01738522202,760.9831543,-0.003457251936,
759.9991455,0.005485120229,759.9991455,0.02042831853,759.9991455,-0.04722328112,759.9991455,0.02186250314,759.9991455,0.01680845395,759.9991455,-0.003260030644,
759.0147095,0.005084058736,759.0147095,0.02047751285,759.0147095,-0.04732868448,759.0147095,0.02216477878,759.0147095,0.01741410606,759.0147095,-0.003477231134,
757.994812,0.005321071483,757.994812,0.02027702704,757.994812,-0.04682554677,757.994812,0.0219524838,757.994812,0.01772171259,757.994812,-0.003083333839,
757.0096436,0.005067349412,757.0096436,0.01949942298,757.0096436,-0.04764899984,757.0096436,0.02120473608,757.0096436,0.01678292081,757.0096436,-0.003418934764,
755.9889526,0.005393272731,755.9889526,0.01994660124,755.9889526,-0.0475692451,755.9889526,0.01981937326,755.9889526,0.01680891216,755.9889526,-0.00357505912,
