LN46_0.75_1_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_2h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0109253,0.01573345996,800.0109253,-0.0004037369217,800.0109253,0.001241841121,800.0109253,-0.001514223171,
799.007019,0.01482720952,799.007019,-0.00148166751,799.007019,-0.000299086998,799.007019,-0.002035451122,
798.0026855,0.01540556084,798.0026855,-0.00149497902,798.0026855,1.423751564E-005,798.0026855,-0.00247544772,
796.9979248,0.01615590043,796.9979248,-0.001323601464,796.9979248,0.0004621550324,796.9979248,-0.001537438831,
795.9926758,0.01499764901,795.9926758,-0.001029609586,795.9926758,5.228996997E-006,795.9926758,-0.001694189385,
794.9871826,0.01581125334,794.9871826,-0.000504690106,794.9871826,0.0004439900222,794.9871826,-0.001701306086,
794.0158691,0.01560445502,794.0158691,-0.0003563553037,794.0158691,0.0007548432914,794.0158691,-0.001751892851,
793.0095215,0.01505411044,793.0095215,-0.001743436325,793.0095215,-0.0004446485545,793.0095215,-0.002066831803,
792.0026855,0.01519959979,792.0026855,-0.001802112791,792.0026855,-0.0003537688463,792.0026855,-0.002510090824,
790.9956055,0.01458123233,790.9956055,-0.001802473678,790.9956055,-0.0005189623334,790.9956055,-0.002699317876,
789.9880371,0.01563485898,789.9880371,-0.001298257965,789.9880371,7.282333536E-005,789.9880371,-0.00218125619,
789.0148926,0.01532746665,789.0148926,-0.001937842579,789.0148926,-0.0002156283444,789.0148926,-0.00243745558,
788.0064697,0.01538831554,788.0064697,-0.001379599445,788.0064697,-0.0001058607086,788.0064697,-0.002355848672,
786.9977417,0.01482635271,786.9977417,-0.001521445927,786.9977417,-0.0001435916056,786.9977417,-0.00245145848,
785.9886475,0.01573834568,785.9886475,-0.001622345997,785.9886475,-0.0001009953048,785.9886475,-0.002330050571,
785.013855,0.01454354171,785.013855,-0.002429990564,785.013855,-0.001053574262,785.013855,-0.002478639362,
784.0039063,0.01458441745,784.0039063,-0.002124124905,784.0039063,-0.0005052072229,784.0039063,-0.002677244833,
782.9935913,0.01582040638,782.9935913,-0.001287676278,782.9935913,0.0001594609494,782.9935913,-0.002043026034,
781.9829102,0.01518155914,781.9829102,-0.002128195018,781.9829102,-0.001057344372,781.9829102,-0.002892474178,
781.0066528,0.01486436184,781.0066528,-0.001619560644,781.0066528,-0.0002205442142,781.0066528,-0.002331543714,
779.9951782,0.01513703447,779.9951782,-0.001911504194,779.9951782,-0.0005182384048,779.9951782,-0.002549775178,
778.9832153,0.01506651938,778.9832153,-0.001907328959,778.9832153,-0.0006161664496,778.9832153,-0.002529650461,
778.0058594,0.01516842376,778.0058594,-0.001905679586,778.0058594,-0.001135890954,778.0058594,-0.002544268034,
776.9931641,0.01504411455,776.9931641,-0.002002522349,776.9931641,-0.0008543279837,776.9931641,-0.002199285198,
776.0150757,0.01507951692,776.0150757,-0.00151303655,776.0150757,-0.000562034722,776.0150757,-0.002547047334,
775.0015869,0.01509744674,775.0015869,-0.002089347923,775.0015869,-0.0006677585188,775.0015869,-0.002704154234,
773.987793,0.01460537873,773.987793,-0.002142826095,773.987793,-0.0004634738434,773.987793,-0.00289555965,
773.0085449,0.01608124375,773.0085449,-0.001988401869,773.0085449,-0.000104514962,773.0085449,-0.002268097596,
771.9938965,0.01452788338,771.9938965,-0.002775870496,771.9938965,-0.001138937427,771.9938965,-0.003179708729,
771.013916,0.01429644134,771.013916,-0.001974280924,771.013916,-0.0009724816773,771.013916,-0.002899159677,
769.9984741,0.01473440975,769.9984741,-0.001534653013,769.9984741,-0.0008314891602,769.9984741,-0.00281481049,
768.9827881,0.01452175342,768.9827881,-0.002655633725,768.9827881,-0.0008392917225,768.9827881,-0.003206535708,
