LN46_0.75_1_0.5mL_s_0.5mL_Ti_2mL_H2O_DF6_6h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_2mL_H2O_DF6_6h,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_2mL_H2O_DF6_6h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_2mL_H2O_DF6_6h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0109253,-0.001408756827,800.0109253,-0.0005988471094,800.0109253,-0.0008416169439,800.0109253,-0.00067013636,
799.007019,-0.0007674617227,799.007019,0.0002847095311,799.007019,-0.0006293493789,799.007019,-0.0001162124463,
798.0026855,-0.0004531303712,798.0026855,0.000850487384,798.0026855,-5.389124271E-005,798.0026855,0.0005571903312,
796.9979248,-0.0008100960404,796.9979248,0.0001740144507,796.9979248,-0.001140331617,796.9979248,3.085716889E-005,
795.9926758,-0.001313794521,795.9926758,-0.0004222019343,795.9926758,-0.001422276953,795.9926758,-0.0001058089474,
794.9871826,-0.0009707253193,794.9871826,-6.885121547E-005,794.9871826,-0.001042366843,794.9871826,7.520525105E-005,
794.0158691,-0.0008355713217,794.0158691,0.0002168232168,794.0158691,-0.000539335655,794.0158691,-0.0002944824519,
793.0095215,-0.0008562398143,793.0095215,0.0009468010394,793.0095215,-0.0006014321116,793.0095215,0.0001147417643,
792.0026855,-0.0008253917331,792.0026855,0.0001307697094,792.0026855,-0.0008449755842,792.0026855,0.0007422669441,
790.9956055,-0.0008113879594,790.9956055,0.00054114667,790.9956055,-0.0005200482556,790.9956055,-0.0001074652464,
789.9880371,-0.0007322658785,789.9880371,0.00017950451,789.9880371,-0.00142263819,789.9880371,0.0002278303873,
789.0148926,-0.001204510685,789.0148926,-0.0002172842214,789.0148926,-0.000845853996,789.0148926,-0.0006428937777,
788.0064697,-0.0007396049914,788.0064697,-0.0002033643104,788.0064697,-0.0009700538358,788.0064697,-0.0001812674891,
786.9977417,-0.0006717905053,786.9977417,0.0002384752297,786.9977417,-0.001331756357,786.9977417,-0.0003555793664,
785.9886475,-0.001266408945,785.9886475,-1.951758168E-005,785.9886475,-0.001355446293,785.9886475,-0.0001857179886,
785.013855,-0.001323704608,785.013855,7.1704726E-006,785.013855,-0.0006611935678,785.013855,-0.0001550810266,
784.0039063,-0.001550232642,784.0039063,0.0003971687693,784.0039063,-0.001333304797,784.0039063,-0.0007756271516,
782.9935913,-0.0011768369,782.9935913,9.964652418E-005,782.9935913,-0.001024754485,782.9935913,-0.000489486556,
781.9829102,-0.000923922169,781.9829102,-4.555906344E-006,781.9829102,-0.0009819346014,781.9829102,-0.0003377323155,
781.0066528,-0.00115029735,781.0066528,0.0003927641374,781.0066528,-0.0007052338915,781.0066528,-4.229561091E-005,
779.9951782,-0.001185356057,779.9951782,0.0003184364759,779.9951782,-0.0008583582821,779.9951782,2.560197754E-005,
778.9832153,-0.001190260984,778.9832153,-4.560868183E-005,778.9832153,-0.001400138834,778.9832153,-0.0002529357735,
778.0058594,-0.001848408952,778.0058594,-0.000103428014,778.0058594,-0.001525418367,778.0058594,-0.0006365869194,
776.9931641,-0.001921142917,776.9931641,3.714795457E-005,776.9931641,-0.002310687909,776.9931641,-0.0004771268286,
776.0150757,-0.001501428196,776.0150757,-0.000234877516,776.0150757,-0.00136411679,776.0150757,-0.000811491278,
775.0015869,-0.00167376711,775.0015869,-0.000203623058,775.0015869,-0.001184633235,775.0015869,-0.000783379015,
773.987793,-0.001382799121,773.987793,-0.0001636720117,773.987793,-0.001430636505,773.987793,-0.0004269085766,
773.0085449,-0.0009898378048,773.0085449,0.0002249296376,773.0085449,-0.0009864802705,773.0085449,-0.0002829967125,
771.9938965,-0.001699552755,771.9938965,5.682341725E-005,771.9938965,-0.001246844069,771.9938965,-0.0004437693278,
771.013916,-0.00162007648,771.013916,-0.0005164802424,771.013916,-0.001472792937,771.013916,-0.0004892279976,
769.9984741,-0.001603931887,769.9984741,-0.000452199456,769.9984741,-0.001518659992,769.9984741,-0.000506293145,
768.9827881,-0.001363136224,768.9827881,0.0002337873157,768.9827881,-0.0009185493109,768.9827881,-5.870540917E-005,
768.0015869,-0.001119831577,768.0015869,0.0001281803416,768.0015869,-0.0009807981551,768.0015869,2.254726314E-005,
766.9850464,-0.002102228813,766.9850464,-0.0006124441279,766.9850464,-0.001615485875,766.9850464,-0.0007915958413,
766.0032959,-0.0008532945649,766.0032959,0.0002661893086,766.0032959,-0.0007965568802,766.0032959,-0.0003107792581,
764.9859619,-0.001335885492,764.9859619,-0.0001124858463,764.9859619,-0.001039319555,764.9859619,-0.0005229957169,
764.0033569,-0.001534395036,764.0033569,-0.0001699857676,764.0033569,-0.001685886527,764.0033569,-0.0005848876899,
762.9852905,-0.001343885437,762.9852905,6.857734115E-005,762.9852905,-0.001176114078,762.9852905,-0.0001078793139,
762.0020142,-0.001619405928,762.0020142,-0.0006676034536,762.0020142,-0.001425631111,762.0020142,-0.0008686920628,
760.9831543,-0.002067037858,760.9831543,-0.000277615909,760.9831543,-0.001680058893,760.9831543,-0.000809734338,
759.9991455,-0.001798813115,759.9991455,-0.0002610591764,759.9991455,-0.001680316753,759.9991455,-0.0009323429549,
759.0147095,-0.001512056333,759.0147095,-0.0003153836296,759.0147095,-0.001298464485,759.0147095,-0.000233842642,
757.994812,-0.001440285821,757.994812,-0.0002541258582,757.994812,-0.001421244815,757.994812,-0.0008277687011,
757.0096436,-0.001666546799,757.0096436,-0.0003625628015,757.0096436,-0.00151293329,757.0096436,-0.000704148435,
755.9889526,-0.001967374934,755.9889526,-0.000673858216,755.9889526,-0.00155394699,755.9889526,-0.0006680170191,
755.0030518,-0.001212254865,755.0030518,0.0001493100426,755.0030518,-0.001374696614,755.0030518,-0.000540421519,
754.0168457,-0.001424702234,754.0168457,0.000122198966,754.0168457,-0.001160159474,754.0168457,-0.0002305310045,
752.9949951,-0.001660048496,752.9949951,-0.0006248517311,752.9949951,-0.001407931093,752.9949951,-0.0005539686535,
752.0080566,-0.001871245913,752.0080566,-0.0006479081931,752.0080566,-0.001883669174,752.0080566,-0.001066072495,
750.9854736,-0.001897226088,750.9854736,-0.000620560837,750.9854736,-0.001617239672,750.9854736,-0.001143171685,
749.9978027,-0.00175890536,749.9978027,-0.0006652256125,749.9978027,-0.001686608535,749.9978027,-0.0006566962111,
749.0097046,-0.00205802056,749.0097046,-0.0003531998082,749.0097046,-0.00165772764,749.0097046,-0.0006826973986,
747.986084,-0.001978661632,747.986084,-0.0006623825175,747.986084,-0.001807062305,747.986084,-0.0009610138368,
746.9972534,-0.00164756726,746.9972534,-0.0007282344159,746.9972534,-0.001775353565,746.9972534,-0.0009437598637,
746.0082397,-0.001679697889,746.0082397,-0.0004647150345,746.0082397,-0.001506277942,746.0082397,-0.000679492543,
744.9833984,-0.001797627308,744.9833984,-0.0003842883452,744.9833984,-0.001830056077,744.9833984,-0.00137918652,
743.9935913,-0.001732710749,743.9935913,-0.0002317211329,743.9935913,-0.001592171262,743.9935913,-0.0009834326338,
743.003418,-0.001579430187,743.003418,-0.000185045239,743.003418,-0.001382128219,743.003418,-0.0004143918923,
742.0129395,-0.001962891081,742.0129395,-0.0009133313433,742.0129395,-0.002003449947,742.0129395,-0.001349717495,
740.9866333,-0.001801648759,740.9866333,-0.0006125992513,740.9866333,-0.00177463179,740.9866333,-0.001114461222,
