date;starting time;materials;EtOH;wavelength;synthesis_date;Variante;;;;;;;;;;
20230920;10:37;LN33;"30%; 50%; 70%; 90%";450;;;;;;;;;;;;
20230921;11:51:40;"LN33; LN33; LN46; LN52";"0%; 100%; 90%; 90%";450;;;;;;;;;;;;
20231004;12:00;"LN33; LN33; LN46; LN46";"90%; 100%; 90%; 90%";450;;;;;;;;;;;;
20231019;10:31;LN55;90%;450;;;;;;;;;;;;
20231020;09:25;"LN33; LN55; LN55; LN31";90%;365;;;;;;;;;;;;
20231026;09:38;"LN33; LN33; LN55; LN55";90%;450;;;;;;;;;;;;
20231031;;LN31;90%;450;;;;;;;;;;;;
20231107;09:02;LN46;90%;365;;;;;;;;;;;;
20231108;09:22;LN31;90%;365;;;;;;;;;;;;
20231110;09:10;BLPHI_Johannes;90%;365;;;;;;;;;;;;
20231121;08:44;BLPHI_Johannes;90%;450;;;;;;;;;;;;
20231122;09:51;BLPHI_Johannes;90%;406;;;;;;;;;;;;
20231123;10:34;LN55;90%;406;;;;;;;;;;;;
20231129;09:41;LN31;90%;406;;;;;;;;;;;;
20231130;09:58;LN33;90%;406;30.04.2023;;;;;;;;;;;
20231205;09:53;LN33;90%;450;30.04.2023;;;;;;;;;;;
20231206;10:02;LN46;90%;406;;;;;;;;;;;;
20231212;09:53:30;LN33;90%;406;30.04.2023;;;;;;;;;;;
20231214;09:04;LN55;90%;450;16.10.2023;;;;;;;;;;;
20231220;09:11;BLPHI_Johannes;90%;450;;;;;;;;;;;;
20231221;09:59;BLPHI_Johannes;90%;406;;;;;;;;;;;;
20240131;09:31;LN46;90%;450;04.12.2023;;;;;;;;;;;
20240224;09:46;LN46;90%;450;04.12.2023;;;;;;;;;;;
20240208;09:15;LN46;90%;406;04.12.2023;;;;;;;;;;;
20240213;09:23:30;LN55;90%;450;0124;;;;;;;;;;;
20240214;09:37;LN31;90%;450;0124;2;;;;;;;;;;
20240215;09:43;LN46;90%;365;04.12.2023;;;;;;;;;;;
20240220;09:08;LN31;90%;365;0124;2;;;;;;;;;;
20240221;09:20;LN31;90%;406;0124;2;;;;;;;;;;
20240222;09:58;"LN28_SBA; LN28_SBA; LN28; LN28";90%;406;;;;;;;;;;;;
20240227;09:13;BLPHI_4;90%;365;02.02.2024;;;;;;;;;;;
20240228;09:15;BLPHI_4;90%;365;02.02.2024;;;;;;;;;;;
20240229;09:21;BLPHI_4;90%;406;02.02.2024;;;;;;;;;;;
20240313;09:12;BLPHI_4;90%;406;02.02.2024;;;;;;;;;;;
20240314;09:45;BLPHI_4;90%;450;02.02.2024;;;;;;;;;;;
20240319;09:19;BLPHI_4;90%;450;02.02.2024;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
